RunTime,Metric,MPH,POL
LI_SP_19,Impressions,"19,418","22,397"
LI_SP_19,CTR,0.47%,0.57%
LI_SP_19,BounceRate,95.16%,87.21%
LI_SP_19,UPV,64,87
LI_SP_19,Cost,$544.31 ,$702.83 
LI_SP_19,Av_TOP,0:06:45,0:05:00
LI_FA_19,Impressions,"9,018","10,571"
LI_FA_19,CTR,0.92%,0.76%
LI_FA_19,BounceRate,83.87%,63.89%
LI_FA_19,UPV,33,42
LI_FA_19,Cost,$458.75 ,$443.38 
LI_FA_19,Av_TOP,0:00:21,0:00:22
DBM_SP_19,Impressions,"62,942","59,742"
DBM_SP_19,CTR,0.09%,0.08%
DBM_SP_19,BounceRate,72.22%,67.67%
DBM_SP_19,UPV,239,214
DBM_SP_19,Cost,$686.61 ,$623.49 
DBM_SP_19,Av_TOP,0:00:01,0:00:03
DBM_FA_19,Impressions,"181,046","60,073"
DBM_FA_19,CTR,0.23%,0.11%
DBM_FA_19,BounceRate,62.23%,65.52%
DBM_FA_19,UPV,656,146
DBM_FA_19,Cost,$???.??,$???.??
DBM_FA_19,Av_TOP,0:00:30,0:00:34
FB_SP_19,Impressions,"170,008","460,188"
FB_SP_19,CTR,0.41%,0.25%
FB_SP_19,BounceRate,93.75%,93.31%
FB_SP_19,UPV,342,695
FB_SP_19,Cost,$715.01 ,"$1,784.97 "
FB_SP_19,Av_TOP,0:00:55,0:01:15
FB_FA_19,Impressions,"445,916","546,434"
FB_FA_19,CTR,0.81%,0.75%
FB_FA_19,BounceRate,76.06%,64.37%
FB_FA_19,UPV,"2,687","3,223"
FB_FA_19,Cost,"$1,111.53 ","$1,359.96 "
FB_FA_19,Av_TOP,0:00:43,0:00:41
LI_WI_20,Impressions," 29,605 "," 30,980 "
LI_WI_20,CTR,0.62%,0.57%
LI_WI_20,BounceRate,89.25%,84.06%
LI_WI_20,UPV,96,156
LI_WI_20,Cost,$878.09 ,$897.92 
LI_WI_20,Av_TOP,0:02:43,0:01:39
DBM_WI_20,Impressions," 111,372 "," 112,082 "
DBM_WI_20,CTR,0.17%,0.18%
DBM_WI_20,BounceRate,58.65%,57.21%
DBM_WI_20,UPV,706,660
DBM_WI_20,Cost,$877.15 ,$890.77 
DBM_WI_20,Av_TOP,0:00:16,0:00:15
FB_WI_20,Impressions," 372,130 "," 263,825 "
FB_WI_20,CTR,0.21%,0.25%
FB_WI_20,BounceRate,88.57,92.35%
FB_WI_20,UPV,529,389
FB_WI_20,Cost,$556.08 ,$443.89 
FB_WI_20,Av_TOP,0:01:26,0:02:49
