Landing Page,Exit Page,Source / Medium,Date,Sessions,Pages / Session,Unique Pageviews,Bounce Rate,Bounces,Exits,Time on Page
/public-service,/public-service,DBM / Display,20191206,38,2.03,38,44.74%,17,38,0:04:43
/public-service,/public-service,DBM / Display,20191205,36,2.08,36,36.11%,13,36,0:04:14
/public-service,/public-service,DBM / Display,20200107,36,1.78,36,38.89%,14,36,0:03:51
/public-service,/public-service,DBM / Display,20200104,35,2.6,35,28.57%,10,35,0:05:35
/public-service,/public-service,DBM / Display,20200114,35,2.06,35,37.14%,13,35,0:03:24
/public-service,/public-service,DBM / Display,20191221,32,1.62,32,43.75%,14,32,0:02:43
/public-service,/public-service,DBM / Display,20191224,29,1.24,29,86.21%,25,29,0:00:38
/public-service,/public-service,DBM / Display,20191231,26,1.27,26,73.08%,19,26,0:00:52
/public-service,/public-service,DBM / Display,20191213,25,2.24,25,12.00%,3,25,0:03:41
/public-service,/public-service,DBM / Display,20191222,25,1.68,25,48.00%,12,25,0:03:04
/public-service,/public-service,DBM / Display,20191229,25,1.72,25,40.00%,10,25,0:01:56
/public-service,/public-service,DBM / Display,20200208,25,1.96,25,40.00%,10,25,0:02:32
/public-service,/public-service,DBM / Display,20191215,23,1.26,23,73.91%,17,23,0:00:43
/public-service,/public-service,DBM / Display,20191217,23,2.57,23,26.09%,6,23,0:03:15
/public-service,/public-service,DBM / Display,20191226,23,2.09,23,52.17%,12,23,0:02:04
/public-service,/public-service,DBM / Display,20191203,22,1.14,22,90.91%,20,22,0:00:14
/public-service,/public-service,DBM / Display,20191227,22,1.14,22,86.36%,19,22,0:00:07
/public-service,/public-service,DBM / Display,20200131,22,1.5,22,54.55%,12,22,0:01:30
/public-service,/public-service,DBM / Display,20191201,20,1.1,20,95.00%,19,20,0:00:00
/public-service,/public-service,DBM / Display,20191228,20,1.1,20,95.00%,19,20,0:00:07
/public-service,/public-service,DBM / Display,20191230,20,1.9,20,30.00%,6,20,0:02:58
/public-service,/public-service,DBM / Display,20200115,20,1.75,20,50.00%,10,20,0:02:16
/public-service,/public-service,DBM / Display,20200106,19,1.53,19,52.63%,10,19,0:29:45
/public-service,/public-service,DBM / Display,20200201,19,1.68,19,63.16%,12,19,0:01:11
/public-service,/public-service,DBM / Display,20200202,19,1,19,100.00%,19,19,0:00:00
/public-service,/public-service,DBM / Display,20200207,19,1.58,19,52.63%,10,19,0:01:05
/public-service,/public-service,DBM / Display,20200209,19,1.53,19,63.16%,12,19,0:00:51
/public-service,/public-service,DBM / Display,20200211,19,1.42,19,68.42%,13,19,0:00:30
/public-service,/public-service,DBM / Display,20191214,17,1.76,17,58.82%,10,17,0:01:38
/public-service,/public-service,DBM / Display,20200105,17,1.29,17,76.47%,13,17,0:00:22
/public-service,/public-service,DBM / Display,20200204,17,1.76,17,70.59%,12,17,0:01:19
/public-service,/public-service,DBM / Display,20200112,16,2.38,16,43.75%,7,16,0:02:03
/public-service,/public-service,DBM / Display,20200113,16,1,16,100.00%,16,16,0:00:00
/public-service,/public-service,DBM / Display,20200128,16,1.44,16,62.50%,10,16,0:00:40
/public-service,/public-service,DBM / Display,20200217,16,1.62,16,43.75%,7,16,0:15:05
/public-service,/public-service,DBM / Display,20200221,16,2,16,37.50%,6,16,0:01:45
/public-service,/public-service,DBM / Display,20191223,14,1.79,14,42.86%,6,14,0:01:21
/public-service,/public-service,DBM / Display,20200119,14,1.43,14,71.43%,10,14,0:00:22
/public-service,/public-service,DBM / Display,20200121,14,2.5,14,42.86%,6,14,0:01:44
/public-service,/public-service,DBM / Display,20200129,14,2.07,14,50.00%,7,14,0:01:28
/public-service,/public-service,DBM / Display,20200212,14,1.64,14,85.71%,12,14,0:00:43
/public-service,/public-service,DBM / Display,20200218,14,1.43,14,71.43%,10,14,0:00:22
/public-service,/public-service,DBM / Display,20191202,13,1,13,100.00%,13,13,0:00:00
/public-service,/public-service,DBM / Display,20191210,13,1.31,13,76.92%,10,13,0:00:26
/public-service,/public-service,DBM / Display,20191225,13,2.54,13,7.69%,1,13,0:01:34
/public-service,/public-service,DBM / Display,20200122,13,1.69,13,46.15%,6,13,0:00:45
/public-service,/public-service,DBM / Display,20200206,13,2,13,46.15%,6,13,0:01:14
/public-service,/public-service,DBM / Display,20200214,13,2,13,53.85%,7,13,0:01:01
