Date,Source / Medium,Landing Page,Page,Exit Page,Pageviews,Time on Page,Bounces,Entrances,Unique Pageviews,Sessions,Exits
20200104,DBM / Display,/public-service,/public-service,/public-service,91,0:05:34,10,35,35,35,35
20191206,DBM / Display,/public-service,/public-service,/public-service,76,0:04:42,17,37,37,37,37
20191205,DBM / Display,/public-service,/public-service,/public-service,75,0:04:13,13,36,36,36,36
20200114,DBM / Display,/public-service,/public-service,/public-service,72,0:03:23,13,35,35,35,35
20200107,DBM / Display,/public-service,/public-service,/public-service,63,0:03:50,14,36,36,36,36
20191217,DBM / Display,/public-service,/public-service,/public-service,59,0:03:14,6,23,23,23,23
20191213,DBM / Display,/public-service,/public-service,/public-service,56,0:03:40,3,24,24,24,24
20191221,DBM / Display,/public-service,/public-service,/public-service,52,0:02:43,14,32,32,32,32
20200208,DBM / Display,/public-service,/public-service,/public-service,49,0:02:31,10,24,24,24,24
20191226,DBM / Display,/public-service,/public-service,/public-service,48,0:02:04,12,23,23,23,23
20191229,DBM / Display,/public-service,/public-service,/public-service,43,0:01:55,10,24,24,24,24
20191222,DBM / Display,/public-service,/public-service,/public-service,42,0:03:03,12,24,24,24,24
20191230,DBM / Display,/public-service,/public-service,/public-service,37,0:02:57,6,20,20,20,20
20200112,DBM / Display,/public-service,/public-service,/public-service,37,0:02:02,7,16,16,16,16
20191224,DBM / Display,/public-service,/public-service,/public-service,36,0:00:37,24,29,29,29,29
20200115,DBM / Display,/public-service,/public-service,/public-service,35,0:02:15,10,20,20,20,20
20200121,DBM / Display,/public-service,/public-service,/public-service,35,0:01:44,6,14,14,14,14
20191225,DBM / Display,/public-service,/public-service,/public-service,33,0:01:34,1,13,13,13,13
20191231,DBM / Display,/public-service,/public-service,/public-service,33,0:00:52,19,26,26,26,26
20200118,DBM / Display,/public-service,/public-service,/public-service,33,1:07:30,7,9,9,9,9
20200131,DBM / Display,/public-service,/public-service,/public-service,33,0:01:29,12,22,22,22,22
20200201,DBM / Display,/public-service,/public-service,/public-service,32,0:01:11,12,19,19,19,19
20200221,DBM / Display,/public-service,/public-service,/public-service,32,0:01:45,6,16,16,16,16
20191214,DBM / Display,/public-service,/public-service,/public-service,30,0:01:38,10,17,17,17,17
20200204,DBM / Display,/public-service,/public-service,/public-service,30,0:01:19,12,17,17,17,17
20200207,DBM / Display,/public-service,/public-service,/public-service,30,0:01:05,10,19,19,19,19
20191215,DBM / Display,/public-service,/public-service,/public-service,29,0:00:43,17,23,23,23,23
20200106,DBM / Display,/public-service,/public-service,/public-service,29,0:29:39,10,19,19,19,19
20200129,DBM / Display,/public-service,/public-service,/public-service,29,0:01:28,7,14,14,14,14
20200209,DBM / Display,/public-service,/public-service,/public-service,29,0:00:50,12,19,19,19,19
20200123,DBM / Display,/public-service,/public-service,/public-service,27,0:01:45,3,12,12,12,12
20200211,DBM / Display,/public-service,/public-service,/public-service,27,0:00:30,13,19,19,19,19
20200206,DBM / Display,/public-service,/public-service,/public-service,26,0:01:13,6,13,13,13,13
20200214,DBM / Display,/public-service,/public-service,/public-service,26,0:01:00,7,13,13,13,13
20200217,DBM / Display,/public-service,/public-service,/public-service,26,0:15:02,7,16,16,16,16
20191203,DBM / Display,/public-service,/public-service,/public-service,24,0:00:14,20,22,22,22,22
20191223,DBM / Display,/public-service,/public-service,/public-service,24,0:01:21,6,14,14,14,14
20191227,DBM / Display,/public-service,/public-service,/public-service,24,0:00:07,19,22,22,22,22
20200128,DBM / Display,/public-service,/public-service,/public-service,23,0:00:40,10,16,16,16,16
20200212,DBM / Display,/public-service,/public-service,/public-service,23,0:00:43,12,14,14,14,14
20200216,DBM / Display,/public-service,/public-service,/public-service,23,0:01:19,4,13,13,13,13
20191201,DBM / Display,/public-service,/public-service,/public-service,22,0:00:00,19,20,20,20,20
20191228,DBM / Display,/public-service,/public-service,/public-service,22,0:00:07,19,20,20,20,20
20200105,DBM / Display,/public-service,/public-service,/public-service,22,0:00:22,13,17,17,17,17
20200122,DBM / Display,/public-service,/public-service,/public-service,22,0:00:45,6,13,13,13,13
20200220,DBM / Display,/public-service,/public-service,/public-service,22,0:00:35,4,13,13,13,13
20200119,DBM / Display,/public-service,/public-service,/public-service,20,0:00:22,10,14,14,14,14
20200218,DBM / Display,/public-service,/public-service,/public-service,20,0:00:22,10,14,14,14,14
20200124,DBM / Display,/public-service,/public-service,/public-service,19,0:00:36,7,12,12,12,12
20200202,DBM / Display,/public-service,/public-service,/public-service,19,0:00:00,19,19,19,19,19
20191210,DBM / Display,/public-service,/public-service,/public-service,17,0:00:26,10,13,13,13,13
20200108,DBM / Display,/public-service,/public-service,/public-service,16,0:00:36,4,9,9,9,9
20200113,DBM / Display,/public-service,/public-service,/public-service,16,0:00:00,16,16,16,16,16
20191219,DBM / Display,/public-service,/public-service,/public-service,14,0:00:22,7,10,10,10,10
20200130,DBM / Display,/public-service,/public-service,/public-service,14,0:00:36,0,6,6,6,6
20200205,DBM / Display,/public-service,/public-service,/public-service,14,0:00:14,9,12,12,12,12
20191202,DBM / Display,/public-service,/public-service,/public-service,13,0:00:00,13,13,13,13,13
